,MI_reg,MI_clf
willr_14,0.0,0.003802219737403245
stoch_k,0.0,0.003994462222300488
dow_cos,0.0,0.0018113080573303186
month_sin,0.0,0.0
is_session_asia,0.0,0.002714278186285668
is_session_eu,0.0,0.003591789249116406
hour_sin,0.0,0.002953236733267861
is_session_us,0.0,0.0
hour_cos,0.0,0.0
dow_sin,0.0,0.0062353634964695814
cci_20,0.0,0.002744337151957321
zscore_24,0.0014356489012889995,0.0014495587437330926
bb_pctb,0.0016432468366760489,0.0
zscore_168,0.001904785763425565,0.003671150446607374
macd_line,0.0025887000000901494,0.003442897623666674
stoch_d,0.005022691373368637,0.0017107794910145024
macd_hist,0.00727049332361851,0.002927378855167362
logret_1,0.008660990608895247,0.001480662829096424
month_cos,0.0092213398751535,0.003759193331971833
adx_14,0.009431513766966049,0.00015504101169350193
logret_24,0.01090858341654144,0.01777894192943341
bb_bw,0.011937597689569479,0.01450798127422237
roc_10,0.012504753927996326,0.0
rsi_14,0.014222540084854352,0.004139509907687078
logret_4,0.016435086016343803,0.007959176854642092
macd_signal,0.02509314593558276,0.00856743878047439
logret_168,0.025567133329694514,0.009797555951245762
rv_24,0.03834616031852711,0.017425323074221843
atr_14,0.03854057578058523,0.004566234818068171
bb_upper,0.05764351568836368,0.06939453186481526
bb_lower,0.06149961198995246,0.0733226516462051
rv_168,0.07445539138389723,0.02260052122926326
