model,family,horizon,protocol,rmse,mae,r2,dir_acc,pearson,sharpe,win_rate,n_trades
Naive Zero,baseline,24,static_train_test,0.012740761267554081,0.008686214380616553,-0.012785755593721637,0.0,,,,
ARIMA/AR,baseline,24,static_train_test,0.012716452047215217,0.008656672970496394,-0.008924676305181789,0.5679672542417641,-0.013625494813018368,,,
XGBoost,ML-tree,24,static_train_test,0.01315874033554736,0.009254315160196131,-0.08032757704362203,0.43790849673202614,0.0010954614626046532,,,
Random Forest,ML-tree,24,static_train_test,0.01771554054862687,0.01433929976460754,-0.9581035060955088,0.4364560639070443,-0.03128482821443857,,,
CNN 1D,DL,24,static_train_test,0.022216509695279395,0.015397211225323462,-2.0794877997412393,0.4414735591206179,0.04903377657817909,,,
BiGRU,DL,24,static_train_test,0.021299854331743518,0.015764138881995987,-1.8306103706612218,0.44391628705354197,0.11668640364768562,,,
Chronos-Bolt (zero-shot),TSFM,24,static_train_test,0.0133,0.0092,-0.1011,0.5266,0.057,,,
moirai (sliding_24m),TSFM,4,walkforward_sliding_24m,0.005192097886214084,0.0034115787972709877,-0.10775178751587688,0.5046296296296297,0.025140853572332693,0.6100335272590955,0.5048299589784306,15120.0
moirai (sliding_6m),TSFM,4,walkforward_sliding_6m,0.005151419523091398,0.003406851171650825,-0.09046204861466456,0.5061507936507936,0.047593346388737745,0.758188347819571,0.5063517268757444,15120.0
moirai (expanding),TSFM,4,walkforward_expanding,0.00522906034880256,0.0034289956216749843,-0.12358006315318537,0.5046296296296297,-0.00435161201188974,-0.09641725089136223,0.5048299589784306,15120.0
